,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
153,0.10777955055236817,0.00255589925211175,0.030033254623413087,0.0008195718414612129,0.8292929292929292,2,"{'C': 0.8292929292929292, 'degree': 2}",0.6970802919708029,0.6843065693430657,0.718978102189781,0.7038391224862889,0.7038391224862889,0.7016086416952455,0.011238468809375955,117,0.7831050228310502,0.7876712328767124,0.7863013698630137,0.7818347786398905,0.7804655408489274,0.7838755890119187,0.0027084472589836996
154,0.1261159896850586,0.005869416924347055,0.029841136932373048,0.0006015266523441484,0.8292929292929292,3,"{'C': 0.8292929292929292, 'degree': 3}",0.6843065693430657,0.698905109489051,0.698905109489051,0.7074954296160878,0.720292504570384,0.7019809445015278,0.011807013487957492,105,0.7986301369863014,0.806392694063927,0.7972602739726027,0.8028297581013236,0.8023733455043359,0.8014972417256981,0.0032459450594723885
155,0.1608724594116211,0.003168602954838453,0.03221845626831055,0.0010701353690260693,0.8292929292929292,4,"{'C': 0.8292929292929292, 'degree': 4}",0.6423357664233577,0.6605839416058394,0.6459854014598541,0.6672760511882998,0.6837294332723949,0.6599821187899492,0.014998669497832838,358,0.7767123287671233,0.7872146118721461,0.7794520547945205,0.7854860794157918,0.775445002282063,0.7808620154263289,0.004696581078615502
156,0.0860992431640625,0.0006860610607137714,0.030132389068603514,0.0012837067794263567,0.8484848484848484,1,"{'C': 0.8484848484848484, 'degree': 1}",0.6952554744525548,0.6824817518248175,0.718978102189781,0.6946983546617916,0.7129798903107861,0.7008787146879463,0.013283766053205984,147,0.7470319634703196,0.7589041095890411,0.7429223744292237,0.7503423094477407,0.7480602464628023,0.7494522006798254,0.005302161657332641
157,0.10628299713134766,0.0020799825596204344,0.029119014739990234,0.0014648829581556666,0.8484848484848484,2,"{'C': 0.8484848484848484, 'degree': 2}",0.6970802919708029,0.6861313868613139,0.718978102189781,0.7038391224862889,0.7020109689213894,0.7016079744859153,0.010647877120091263,121,0.7835616438356164,0.7899543378995434,0.7872146118721461,0.7827476038338658,0.7827476038338658,0.7852451602550075,0.002876278757282698
158,0.12263364791870117,0.0018385511625788244,0.029918479919433593,0.0008284651095101219,0.8484848484848484,3,"{'C': 0.8484848484848484, 'degree': 3}",0.6843065693430657,0.698905109489051,0.698905109489051,0.7020109689213894,0.7221206581352834,0.7012496830755681,0.012118088212585384,123,0.8009132420091324,0.808675799086758,0.7981735159817351,0.8055682336832497,0.8037425832952989,0.8034146748112349,0.003637352893826257
159,0.15722856521606446,0.005670840592288034,0.032244634628295896,0.0003879994509133871,0.8484848484848484,4,"{'C': 0.8484848484848484, 'degree': 4}",0.6441605839416058,0.666058394160584,0.6496350364963503,0.6654478976234004,0.6819012797074955,0.6614406383858873,0.01337155305755057,357,0.7780821917808219,0.7881278538812785,0.782648401826484,0.7863989046097672,0.776814240073026,0.7824143184342756,0.004443071197320268
160,0.09370369911193847,0.008368308629635229,0.03002324104309082,0.0006663375510046394,0.8676767676767676,1,"{'C': 0.8676767676767676, 'degree': 1}",0.6934306569343066,0.6824817518248175,0.718978102189781,0.6928702010968921,0.7111517367458866,0.6997824897583367,0.013305430180869776,180,0.7484018264840183,0.7602739726027398,0.7429223744292237,0.7512551346417161,0.7494294842537654,0.7504565584822925,0.005640214150117166
161,0.10633363723754882,0.003467946680785665,0.030129671096801758,0.0006807116905782026,0.8676767676767676,2,"{'C': 0.8676767676767676, 'degree': 2}",0.6970802919708029,0.6843065693430657,0.7153284671532847,0.7038391224862889,0.7038391224862889,0.7008787146879463,0.010152707928867922,147,0.7844748858447489,0.7908675799086758,0.7876712328767124,0.7850296668188042,0.7832040164308535,0.7862494763759591,0.0027298426684611455
162,0.12844362258911132,0.003266062222566748,0.030338859558105467,0.0007325548030260847,0.8676767676767676,3,"{'C': 0.8676767676767676, 'degree': 3}",0.6843065693430657,0.698905109489051,0.698905109489051,0.7020109689213894,0.720292504570384,0.7008840523625881,0.011494375416600918,136,0.8022831050228311,0.8095890410958904,0.8004566210045662,0.8069374714742127,0.8046554084892743,0.804784329417355,0.0032472474255727892
