,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
19,0.32353501319885253,0.0010170554682826748,0.021741867065429688,0.0007464166309289618,260,34,6,14,True,"{'n_estimators': 260, 'min_samples_split': 34, 'min_samples_leaf': 6, 'max_depth': 14, 'bootstrap': True}",0.6408268733850129,0.6408268733850129,0.6010362694300518,0.6295336787564767,0.6139896373056994,0.6252426664524507,0.015599539222751256,16,0.7126213592233009,0.7074433656957929,0.703104786545925,0.7095730918499353,0.7147477360931436,0.7094980678816196,0.004059936970981459
20,2.5838897705078123,0.033330198439633876,0.16895599365234376,0.013387909358008264,1909,25,20,12,False,"{'n_estimators': 1909, 'min_samples_split': 25, 'min_samples_leaf': 20, 'max_depth': 12, 'bootstrap': False}",0.648578811369509,0.6434108527131783,0.5906735751295337,0.6217616580310881,0.6088082901554405,0.6226466374797499,0.02153225505260625,48,0.7100323624595469,0.7016181229773463,0.7134540750323415,0.7095730918499353,0.7199223803363519,0.7109200065311045,0.005942917904567831
21,0.36740865707397463,0.017343198002393076,0.026927089691162108,0.003987860680695524,311,44,18,11,True,"{'n_estimators': 311, 'min_samples_split': 44, 'min_samples_leaf': 18, 'max_depth': 11, 'bootstrap': True}",0.6330749354005168,0.6537467700258398,0.5880829015544041,0.6217616580310881,0.6010362694300518,0.6195405068883801,0.023195561828248182,72,0.6789644012944984,0.6718446601941748,0.6785252263906857,0.684346701164295,0.6875808538163001,0.6802523685719908,0.005400031395116057
22,1.7999874591827392,0.005829158389475068,0.10990614891052246,0.0007463656570697221,1316,43,12,9,False,"{'n_estimators': 1316, 'min_samples_split': 43, 'min_samples_leaf': 12, 'max_depth': 9, 'bootstrap': False}",0.6537467700258398,0.6408268733850129,0.5854922279792746,0.6269430051813472,0.6010362694300518,0.6216090292003053,0.025132739585040316,57,0.7106796116504854,0.7055016181229773,0.720569210866753,0.7147477360931436,0.723156532988357,0.7149309419443434,0.006426039928981726
23,0.5878313541412353,0.09651403079210424,0.03389863967895508,0.006056753211264516,351,24,14,9,False,"{'n_estimators': 351, 'min_samples_split': 24, 'min_samples_leaf': 14, 'max_depth': 9, 'bootstrap': False}",0.6537467700258398,0.6382428940568475,0.5958549222797928,0.6269430051813472,0.6062176165803109,0.6242010416248276,0.020997848027209803,35,0.7268608414239482,0.7184466019417476,0.7367399741267788,0.7263906856403622,0.7393272962483829,0.729553079876244,0.007586692190333971
24,0.9223340034484864,0.017313497394217312,0.051462554931640626,0.0004885387300577005,592,31,2,10,False,"{'n_estimators': 592, 'min_samples_split': 31, 'min_samples_leaf': 2, 'max_depth': 10, 'bootstrap': False}",0.6563307493540051,0.6304909560723514,0.6062176165803109,0.6139896373056994,0.6010362694300518,0.6216130457484838,0.020013373301749963,54,0.7598705501618123,0.7559870550161812,0.7755498059508409,0.7684346701164295,0.7684346701164295,0.7656553502723387,0.006932378181321929
25,1.0757241249084473,0.0023262051998007636,0.0767946720123291,0.0020921235799109456,1044,8,12,4,True,"{'n_estimators': 1044, 'min_samples_split': 8, 'min_samples_leaf': 12, 'max_depth': 4, 'bootstrap': True}",0.6304909560723514,0.6201550387596899,0.5803108808290155,0.6217616580310881,0.5880829015544041,0.6081602870493097,0.020031080726352596,85,0.6478964401294498,0.6381877022653721,0.648124191461837,0.648771021992238,0.6474773609314359,0.6460913433560667,0.00397391772902542
26,2.0182040214538572,0.06469731271114104,0.13125038146972656,0.004747205545193131,1648,18,20,5,False,"{'n_estimators': 1648, 'min_samples_split': 18, 'min_samples_leaf': 20, 'max_depth': 5, 'bootstrap': False}",0.6382428940568475,0.6253229974160207,0.5803108808290155,0.6243523316062176,0.6036269430051814,0.6143712093826565,0.020322239208933286,82,0.6627831715210356,0.6627831715210356,0.6701164294954722,0.6714100905562742,0.6733505821474773,0.668088689048259,0.004452594541380588
27,0.8160187721252441,0.02688294098217533,0.051871299743652344,0.002273169781526738,592,27,18,8,False,"{'n_estimators': 592, 'min_samples_split': 27, 'min_samples_leaf': 18, 'max_depth': 8, 'bootstrap': False}",0.6563307493540051,0.6382428940568475,0.5880829015544041,0.6269430051813472,0.6139896373056994,0.6247178374904607,0.02299768481005007,28,0.7029126213592233,0.7009708737864078,0.7134540750323415,0.7147477360931436,0.7160413971539457,0.7096253406850124,0.006356482047140024
28,1.3232594013214112,0.04567291555451625,0.08596558570861816,0.0031006341231689283,974,27,4,9,True,"{'n_estimators': 974, 'min_samples_split': 27, 'min_samples_leaf': 4, 'max_depth': 9, 'bootstrap': True}",0.6511627906976745,0.6330749354005168,0.5958549222797928,0.6321243523316062,0.6191709844559585,0.6262775970331098,0.018306852823968673,11,0.7190938511326861,0.7158576051779936,0.7153945666235446,0.7199223803363519,0.7296248382923674,0.7199786483125887,0.0051348186863747845
