,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
159,0.011566591262817384,0.0004883942855070452,0.00099945068359375,2.772224779844023e-06,random,42,20,14,gini,"{'splitter': 'random', 'min_samples_split': 42, 'min_samples_leaf': 20, 'max_depth': 14, 'criterion': 'gini'}",0.5346715328467153,0.5784671532846716,0.5328467153284672,0.5301645338208409,0.5319926873857403,0.541628524533287,0.018476346582094166,49,0.5917808219178082,0.6237442922374429,0.6105022831050229,0.6052031036056595,0.6006389776357828,0.6063738957003432,0.01063947461276079
160,0.014078712463378907,0.00020249739796050886,0.00039873123168945315,0.0004883507589695165,random,22,13,26,entropy,"{'splitter': 'random', 'min_samples_split': 22, 'min_samples_leaf': 13, 'max_depth': 26, 'criterion': 'entropy'}",0.5164233576642335,0.5109489051094891,0.5109489051094891,0.5283363802559415,0.5283363802559415,0.5189987856790189,0.007881818683434409,159,0.6365296803652968,0.608675799086758,0.6333333333333333,0.6366955727978092,0.6330442720219078,0.629655731521021,0.010601651424928164
161,0.45272245407104494,0.02222703194141137,0.0009940147399902343,1.5628624287125772e-05,best,16,36,17,log_loss,"{'splitter': 'best', 'min_samples_split': 16, 'min_samples_leaf': 36, 'max_depth': 17, 'criterion': 'log_loss'}",0.5127737226277372,0.5200729927007299,0.48722627737226276,0.5374771480804388,0.5155393053016454,0.5146178892165628,0.016166967725993967,188,0.6200913242009133,0.6095890410958904,0.6187214611872146,0.6362391602008215,0.6230031948881789,0.6215288363146036,0.008614799685292782
162,0.013268089294433594,0.0021254646145072954,0.0007980823516845703,0.0003990422121647507,random,19,22,26,log_loss,"{'splitter': 'random', 'min_samples_split': 19, 'min_samples_leaf': 22, 'max_depth': 26, 'criterion': 'log_loss'}",0.531021897810219,0.49635036496350365,0.49635036496350365,0.5009140767824497,0.506398537477148,0.5062070483993648,0.012947103031931972,210,0.582648401826484,0.5808219178082191,0.5817351598173516,0.5942492012779552,0.5613874942948426,0.5801684350049705,0.010583228379274863
163,0.556966495513916,0.029508627825389957,0.00039806365966796873,0.00048755664629940396,best,41,12,13,entropy,"{'splitter': 'best', 'min_samples_split': 41, 'min_samples_leaf': 12, 'max_depth': 13, 'criterion': 'entropy'}",0.5218978102189781,0.5291970802919708,0.5054744525547445,0.5356489945155393,0.5502742230347349,0.5284985121231935,0.014828860821199313,104,0.6881278538812785,0.6684931506849315,0.6958904109589041,0.6795983569146509,0.6764034687357371,0.6817026482351004,0.009482363097438768
164,0.46746487617492677,0.018431031508319713,0.0005994319915771484,0.0004894362466712068,best,43,29,20,entropy,"{'splitter': 'best', 'min_samples_split': 43, 'min_samples_leaf': 29, 'max_depth': 20, 'criterion': 'entropy'}",0.5182481751824818,0.5255474452554745,0.49452554744525545,0.5374771480804388,0.5429616087751371,0.5237519849477575,0.017000529399667137,122,0.6292237442922375,0.626027397260274,0.6415525114155252,0.6590597900502054,0.6444545869465997,0.6400636059929684,0.011805679303688013
165,0.007506799697875976,0.0004373112651212394,0.0005877494812011718,0.0004803849654362964,random,28,46,10,log_loss,"{'splitter': 'random', 'min_samples_split': 28, 'min_samples_leaf': 46, 'max_depth': 10, 'criterion': 'log_loss'}",0.4927007299270073,0.4781021897810219,0.4927007299270073,0.4789762340036563,0.5411334552102377,0.49672266776978613,0.023092544775528787,236,0.5223744292237443,0.5127853881278539,0.5365296803652968,0.5289821999087175,0.5472387037882246,0.5295820802827674,0.011785282840211898
166,0.4247769355773926,0.025727247936231695,0.0006041526794433594,0.0004934368651147747,best,39,42,20,log_loss,"{'splitter': 'best', 'min_samples_split': 39, 'min_samples_leaf': 42, 'max_depth': 20, 'criterion': 'log_loss'}",0.5054744525547445,0.5218978102189781,0.4981751824817518,0.5319926873857403,0.5484460694698354,0.52119724042221,0.01809282934086534,135,0.6132420091324201,0.5990867579908675,0.6123287671232877,0.6312186216339571,0.5951620264719306,0.6102076364704926,0.012690251602111154
167,0.47733097076416015,0.04152099695687962,0.0005922794342041015,0.00048375101263377265,best,15,24,13,log_loss,"{'splitter': 'best', 'min_samples_split': 15, 'min_samples_leaf': 24, 'max_depth': 13, 'criterion': 'log_loss'}",0.5200729927007299,0.5346715328467153,0.5091240875912408,0.5575868372943327,0.5411334552102377,0.5325177811286513,0.01678966181743561,80,0.647945205479452,0.636986301369863,0.6515981735159817,0.6586033774532177,0.645367412140575,0.6481000939918179,0.007121284305840954
168,0.5223218441009522,0.02249210653785384,0.0003920555114746094,0.00048031948249962754,best,22,10,28,log_loss,"{'splitter': 'best', 'min_samples_split': 22, 'min_samples_leaf': 10, 'max_depth': 28, 'criterion': 'log_loss'}",0.5054744525547445,0.5200729927007299,0.5237226277372263,0.5484460694698354,0.5374771480804388,0.527038658108595,0.01477681188381669,112,0.7479452054794521,0.7424657534246575,0.7493150684931507,0.7498858968507531,0.734367868553172,0.7447959585602371,0.005838193208768207
169,0.4466245174407959,0.009997581191544647,0.0009904861450195312,1.3645876492222452e-05,best,23,23,30,entropy,"{'splitter': 'best', 'min_samples_split': 23, 'min_samples_leaf': 23, 'max_depth': 30, 'criterion': 'entropy'}",0.5237226277372263,0.5328467153284672,0.5109489051094891,0.5429616087751371,0.546617915904936,0.5314195545710512,0.012996431528510408,91,0.6584474885844749,0.6410958904109589,0.6721461187214612,0.672295755362848,0.6617982656321314,0.6611567037423749,0.011445814890467448
170,0.007302999496459961,0.0003938097022381278,0.0005890846252441407,0.00048111754896946676,random,14,34,7,log_loss,"{'splitter': 'random', 'min_samples_split': 14, 'min_samples_leaf': 34, 'max_depth': 7, 'criterion': 'log_loss'}",0.42700729927007297,0.4416058394160584,0.4762773722627737,0.48080438756855576,0.46983546617915906,0.459106072939324,0.02105886844983979,281,0.5004566210045662,0.4849315068493151,0.5100456621004567,0.49475125513464174,0.5015974440894568,0.4983564978356873,0.00830396253689362
171,0.00798330307006836,1.3667520506556474e-05,0.00019922256469726563,0.00039844512939453126,random,36,43,22,entropy,"{'splitter': 'random', 'min_samples_split': 36, 'min_samples_leaf': 43, 'max_depth': 22, 'criterion': 'entropy'}",0.5182481751824818,0.5346715328467153,0.5054744525547445,0.49177330895795246,0.49177330895795246,0.5083881556999693,0.01642334819075285,205,0.5324200913242009,0.5593607305936074,0.545662100456621,0.5417617526243724,0.5271565495207667,0.5412722449039137,0.011174231457034486
172,0.008078384399414062,0.0006547799200821408,0.0005975246429443359,0.0004878776901708425,random,35,14,7,gini,"{'splitter': 'random', 'min_samples_split': 35, 'min_samples_leaf': 14, 'max_depth': 7, 'criterion': 'gini'}",0.4197080291970803,0.44525547445255476,0.44525547445255476,0.5027422303473492,0.49725776965265084,0.46204379562043796,0.032411106523187724,280,0.4785388127853881,0.4780821917808219,0.47899543378995435,0.5431309904153354,0.5298950251026928,0.5017284907748385,0.028709653894710616
173,0.008191204071044922,0.0007330864074651958,0.0,0.0,random,29,41,20,log_loss,"{'splitter': 'random', 'min_samples_split': 29, 'min_samples_leaf': 41, 'max_depth': 20, 'criterion': 'log_loss'}",0.4981751824817518,0.5054744525547445,0.5218978102189781,0.5429616087751371,0.5319926873857403,0.5201003482832703,0.016504093742470267,149,0.5232876712328767,0.5232876712328767,0.54337899543379,0.5490643541761753,0.5518028297581014,0.538164304366764,0.01244702286028968
174,0.1740270137786865,0.0026637207462306637,0.0007993221282958984,0.0003996674750715668,best,17,30,26,gini,"{'splitter': 'best', 'min_samples_split': 17, 'min_samples_leaf': 30, 'max_depth': 26, 'criterion': 'gini'}",0.5766423357664233,0.5620437956204379,0.5529197080291971,0.5484460694698354,0.5959780621572212,0.567205994208623,0.017317952992796277,9,0.6652968036529681,0.6666666666666666,0.6748858447488585,0.6700136923779096,0.6599726152441807,0.6673671245381168,0.00495965951317846
175,0.01138463020324707,0.0004931619606572274,0.0006024837493896484,0.0004925413020100067,random,22,11,12,entropy,"{'splitter': 'random', 'min_samples_split': 22, 'min_samples_leaf': 11, 'max_depth': 12, 'criterion': 'entropy'}",0.5383211678832117,0.5383211678832117,0.5036496350364964,0.5521023765996343,0.5283363802559415,0.532146145531699,0.016131201953851735,85,0.6264840182648402,0.634703196347032,0.647945205479452,0.6371519853947969,0.6280237334550434,0.6348616277882329,0.007660182555631135
